Date,Weight,Fat
2016-07-26,215.14,30.336
2016-07-27,213.69,30.25
2016-07-28,214.7,30.43
2016-07-29,217.13,30.486
2016-07-30,217.49,30.391
2016-07-31,217.85,30.296
2016-08-01,217.49,30.393
2016-08-02,217.6,30.362
2016-08-03,217.72,30.331
2016-08-04,217.84,30.3
2016-08-05,217.96,30.269
2016-08-06,218.08,30.238
2016-08-07,218.21,30.201
2016-08-08,217.53,30.222
2016-08-09,216,30.319
2016-08-10,213.53,30.111
2016-08-11,213.64,30.665
2016-08-12,216.51,30.819
2016-08-13,216.51,30.201
2016-08-14,216.8,30.642
2016-08-15,217.33,29.59
2016-08-16,217.33,29.25
2016-08-17,216.27,29.347
2016-08-18,215.59,30.181
2016-08-19,215.87,30.267
2016-08-20,216.03,30.072
2016-08-21,216.19,29.877
2016-08-22,216.36,29.68
2016-08-23,216.09,29.68
2016-08-24,216.05,29.621
2016-08-25,217.5,29.465
2016-08-26,215.5,29.663
2016-08-27,213.58,29.847
2016-08-28,215.63,31.285
2016-08-29,215.52,30.58
2016-08-30,215.08,30.538
2016-08-31,216.18,30.208
2016-09-01,214.79,30.117
2016-09-02,213.67,30.478
2016-09-03,213.09,30.403
2016-09-04,215.76,30.125
2016-09-05,215.01,29.84
2016-09-06,215.47,29.762
2016-09-07,215.92,29.684
2016-09-08,216.38,29.606
2016-09-09,216.84,29.528
2016-09-10,217.29,29.45
2016-09-11,217.75,29.372
2016-09-12,218.21,29.294
2016-09-13,218.66,29.216
2016-09-14,219.12,29.138
2016-09-15,219.58,29.052
2016-09-16,216.09,29.841
2016-09-17,216.47,30.07
2016-09-18,219.51,30.107
2016-09-19,217.99,30.319
2016-09-20,219.31,30.378
2016-09-21,217.33,30.367
2016-09-22,217.48,30.037
2016-09-23,217.63,29.707
2016-09-24,216.93,29.933
2016-09-25,216.53,30.232
2016-09-26,216.53,30.372
2016-09-27,215.06,30.833
2016-09-28,215.02,31.053
2016-09-29,214.99,31.273
2016-09-30,214.99,31.197
2016-10-01,217.02,31.042
2016-10-02,217.02,31.15
2016-10-03,217.02,31.068
2016-10-04,217.02,31.309
2016-10-05,215.92,31.118
2016-10-06,218.65,31.103
2016-10-07,216.05,31.201
2016-10-08,216.92,31.29
2016-10-09,217.79,31.379
2016-10-10,218.66,31.468
2016-10-11,219.53,31.559
2016-10-12,219.53,31.774
2016-10-13,219.53,31.989
2016-10-14,217.79,31.718
2016-10-15,216.2,31.513
2016-10-16,218.69,31.458
2016-10-17,217.86,30.761
2016-10-18,219.09,31.579
2016-10-19,217.26,31.583
2016-10-20,218.47,31.533
2016-10-21,219.69,31.482
2016-10-22,219.85,30.145
2016-10-23,220.02,28.808
2016-10-24,219.35,29.888
2016-10-25,218.3,30.172
2016-10-26,217.7,30.534
2016-10-27,215.92,30.854
2016-10-28,216.81,30.914
2016-10-29,217.71,30.974
2016-10-30,218.6,31.034
2016-10-31,219.5,31.094
2016-11-01,220.39,31.155
2016-11-02,219.73,31.531
2016-11-03,219.73,31.679
2016-11-04,219.54,32.235
2016-11-05,219.35,32.792
2016-11-06,221.03,32.414
2016-11-07,220.44,31.944
2016-11-08,220.73,32.023
2016-11-09,221.03,32.102
2016-11-10,218.94,32.46
2016-11-11,220.74,32.638
2016-11-12,220.99,32.784
2016-11-13,220.37,32.227
2016-11-14,220.06,32.188
2016-11-15,220.9,32.687
2016-11-16,221.85,32.77
2016-11-17,222.15,32.682
2016-11-18,221.69,32.66
2016-11-19,221.69,32.716
2016-11-20,220.08,32.772
2016-11-21,219.64,33.096
2016-11-22,220.04,32.984
2016-11-23,219.82,32.522
2016-11-24,220.59,32.49
2016-11-25,221.64,31.985
2016-11-26,222.68,31.479
2016-11-27,223.32,31.333
2016-11-28,222.71,31.792
2016-11-29,223.61,32.405
2016-11-30,222.71,32.386
2016-12-01,222.71,32.326
2016-12-02,220.26,32.249
2016-12-03,222.53,31.87
2016-12-04,222.53,31.736
2016-12-05,222.53,31.608
2016-12-06,220.13,31.701
2016-12-07,220.78,31.668
2016-12-08,221.43,31.635
2016-12-09,220.93,31.694
2016-12-10,220.44,31.754
2016-12-11,222.82,31.882
2016-12-12,223.61,31.749
2016-12-13,222.99,31.682
2016-12-14,222.38,31.614
2016-12-15,220.74,31.899
2016-12-16,222.49,32
2016-12-17,220.46,32.05
2016-12-18,221.43,31.955
2016-12-19,221.59,32.003
2016-12-20,221.76,32.051
2016-12-21,221.93,32.099
2016-12-22,222.1,32.147
2016-12-23,222.27,32.195
2016-12-24,222.44,32.245
2016-12-25,220.9,32.256
2016-12-26,221.58,32.26
2016-12-27,222.27,32.264
